time,C6H6,CO,NO2,O3,PM10,PM25,SO2
2024-01-01 01:00:00,0.63,0.342,8.6,42.3,39.2,37.4,11.3
2024-01-01 02:00:00,0.52,0.342,5.3,43.8,19.6,18.8,9.5
2024-01-01 03:00:00,0.57,0.351,6.3,41.4,19.8,19.0,9.5
2024-01-01 04:00:00,0.58,0.352,5.6,40.9,19.4,18.7,9.7
2024-01-01 05:00:00,0.61,0.368,5.9,39.7,19.8,19.0,10.1
2024-01-01 06:00:00,0.62,0.367,6.5,38.6,21.3,20.3,10.7
2024-01-01 07:00:00,0.59,0.349,7.7,36.6,21.8,20.9,13.1
2024-01-01 08:00:00,0.62,0.357,6.1,37.5,23.0,21.9,10.6
2024-01-01 09:00:00,0.57,0.358,9.8,33.2,25.5,23.6,15.2
2024-01-01 10:00:00,0.65,0.37,7.4,34.5,21.8,20.9,11.6
2024-01-01 11:00:00,0.67,0.369,9.4,32.8,16.1,15.5,13.2
2024-01-01 12:00:00,0.72,0.384,8.6,32.8,16.4,15.9,10.7
2024-01-01 13:00:00,1.44,0.441,14.0,25.4,18.9,18.2,10.5
2024-01-01 14:00:00,1.19,0.467,19.5,19.3,17.8,17.3,10.6
2024-01-01 15:00:00,1.43,0.477,23.7,15.8,24.4,24.4,10.0
2024-01-01 16:00:00,1.4,0.491,23.4,15.0,17.3,16.6,10.2
2024-01-01 17:00:00,1.45,0.487,23.2,15.0,23.1,22.9,10.4
2024-01-01 18:00:00,1.5,0.515,19.9,16.7,29.0,29.0,10.4
2024-01-01 19:00:00,1.62,0.489,23.7,13.0,21.6,21.4,10.2
2024-01-01 20:00:00,1.22,0.455,22.7,13.8,19.1,18.7,10.5
2024-01-01 21:00:00,1.1,0.466,23.2,12.4,22.3,21.9,10.2
2024-01-01 22:00:00,1.27,0.447,21.3,14.7,20.3,19.7,10.1
2024-01-01 23:00:00,1.1,0.419,11.5,21.9,16.9,14.8,9.6
2024-01-02 00:00:00,1.02,0.419,10.1,22.0,20.8,16.6,9.8
2024-01-02 01:00:00,0.96,0.385,7.6,23.9,17.3,14.7,10.1
2024-01-02 02:00:00,0.83,0.379,6.6,23.8,17.0,14.2,9.7
2024-01-02 03:00:00,0.79,0.374,6.7,24.1,16.4,13.7,10.1
2024-01-02 04:00:00,0.87,0.405,7.5,22.2,12.7,11.8,9.8
2024-01-02 05:00:00,0.92,0.404,12.6,16.9,13.8,13.2,10.0
2024-01-02 06:00:00,1.16,0.422,16.1,13.6,12.2,11.4,10.1
2024-01-02 07:00:00,0.91,0.425,20.4,10.7,14.0,12.9,10.3
2024-01-02 08:00:00,1.11,0.495,25.1,6.5,19.9,17.6,11.7
2024-01-02 09:00:00,1.43,0.535,24.7,8.0,24.6,20.1,11.5
2024-01-02 10:00:00,1.22,0.506,24.1,6.7,21.7,19.6,10.7
2024-01-02 11:00:00,1.34,0.49,21.8,9.2,19.4,18.9,10.7
2024-01-02 12:00:00,1.42,0.475,22.5,8.8,24.2,21.5,11.9
2024-01-02 13:00:00,1.48,0.533,22.4,8.4,23.5,22.3,11.6
2024-01-02 14:00:00,1.62,0.509,21.3,8.3,21.3,20.2,12.3
2024-01-02 15:00:00,1.77,0.57,24.5,5.5,26.9,24.8,12.0
2024-01-02 16:00:00,2.29,0.624,23.4,5.0,30.7,24.8,11.1
2024-01-02 17:00:00,2.22,0.6,22.1,6.2,32.1,25.4,11.1
2024-01-02 18:00:00,1.88,0.505,19.4,8.5,22.8,21.6,11.1
2024-01-02 19:00:00,1.57,0.494,18.6,10.1,19.6,19.4,11.2
2024-01-02 20:00:00,1.41,0.458,15.4,12.6,20.3,20.1,11.4
2024-01-02 21:00:00,1.37,0.444,13.5,13.7,17.5,16.1,11.4
2024-01-02 22:00:00,1.27,0.435,12.4,14.2,23.4,18.7,11.5
2024-01-02 23:00:00,1.24,0.431,10.7,15.7,24.2,19.6,11.3
2024-01-03 00:00:00,1.18,0.43,9.7,17.2,24.9,20.0,11.7
2024-01-03 01:00:00,1.15,0.416,8.7,19.1,25.3,20.3,11.2
2024-01-03 02:00:00,1.06,0.405,8.2,21.0,19.7,19.2,11.8
2024-01-03 03:00:00,0.99,0.391,7.5,23.6,17.4,17.1,12.2
2024-01-03 04:00:00,0.9,0.398,6.8,24.9,18.0,17.6,12.1
2024-01-03 05:00:00,0.82,0.38,7.2,26.2,17.0,16.6,12.2
2024-01-03 06:00:00,0.76,0.385,9.6,25.2,14.9,14.5,12.5
2024-01-03 07:00:00,0.87,0.4,15.0,23.1,14.1,13.6,12.4
2024-01-03 08:00:00,1.01,0.405,16.2,21.6,15.1,14.5,13.0
2024-01-03 09:00:00,1.09,0.423,19.1,21.6,14.7,14.1,12.6
2024-01-03 10:00:00,0.96,0.401,14.5,23.9,16.4,15.6,12.9
2024-01-03 11:00:00,1.18,0.408,12.8,24.7,17.1,16.5,12.4
2024-01-03 12:00:00,1.21,0.4,11.7,25.6,17.1,16.4,12.0
2024-01-03 13:00:00,1.37,0.43,10.8,27.3,17.4,16.5,12.5
2024-01-03 14:00:00,1.33,0.422,12.8,26.5,17.0,15.9,12.4
2024-01-03 15:00:00,1.16,0.406,14.5,24.8,16.5,15.6,12.3
2024-01-03 16:00:00,1.5,0.547,29.6,20.4,18.9,17.9,12.5
2024-01-03 17:00:00,1.35,0.436,17.5,21.5,18.5,17.7,12.8
2024-01-03 18:00:00,1.17,0.429,16.3,21.4,19.8,19.3,12.6
2024-01-03 19:00:00,1.36,0.432,14.6,22.3,21.1,20.7,12.7
2024-01-03 20:00:00,1.19,0.416,14.6,21.2,21.3,21.1,12.8
2024-01-03 21:00:00,1.25,0.426,16.3,19.5,21.6,21.3,12.7
2024-01-03 22:00:00,1.28,0.455,17.1,18.3,21.2,20.9,12.8
2024-01-03 23:00:00,1.38,0.44,16.9,17.9,22.1,21.9,13.2
2024-01-04 00:00:00,1.28,0.427,13.3,19.6,22.7,22.5,12.7
2024-01-04 01:00:00,1.22,0.415,13.6,19.0,22.6,22.3,12.9
2024-01-04 02:00:00,1.25,0.418,14.4,18.2,22.9,22.6,12.5
2024-01-04 03:00:00,1.2,0.423,14.3,17.5,22.8,22.5,12.6
2024-01-04 04:00:00,1.19,0.411,14.3,17.0,22.6,22.4,12.9
2024-01-04 05:00:00,1.3,0.422,15.7,15.3,23.3,22.8,13.0
2024-01-04 06:00:00,1.23,0.447,18.8,12.5,23.8,23.5,13.2
2024-01-04 07:00:00,1.45,0.476,23.0,8.5,22.0,21.7,13.7
2024-01-04 08:00:00,1.66,0.579,30.5,5.6,17.9,17.4,13.6
2024-01-04 09:00:00,2.14,0.553,33.7,5.2,20.6,19.8,13.3
2024-01-04 10:00:00,2.2,0.561,26.1,7.2,22.2,21.1,13.6
2024-01-04 11:00:00,2.03,0.515,21.8,10.6,20.2,19.4,13.5
2024-01-04 12:00:00,1.79,0.536,22.2,10.9,23.7,21.6,13.8
2024-01-04 13:00:00,2.0,0.556,22.0,9.8,31.3,26.4,13.6
2024-01-04 14:00:00,2.22,0.595,23.1,9.1,31.9,27.6,13.3
2024-01-04 15:00:00,2.04,0.542,22.5,8.6,31.0,26.1,13.0
2024-01-04 16:00:00,2.45,0.681,28.5,7.3,24.2,23.2,13.4
2024-01-04 17:00:00,2.29,0.517,22.1,10.6,23.2,22.9,13.2
2024-01-04 18:00:00,1.76,0.481,18.0,15.3,24.0,23.8,12.8
2024-01-04 19:00:00,1.76,0.466,16.6,17.6,22.1,21.9,12.4
2024-01-04 20:00:00,1.48,0.422,12.2,25.5,19.4,18.8,12.4
2024-01-04 21:00:00,1.2,0.404,11.2,28.9,17.6,17.0,11.9
2024-01-04 22:00:00,1.11,0.399,13.1,29.6,16.4,15.7,11.6
2024-01-04 23:00:00,1.04,0.396,9.8,34.6,15.1,14.3,11.2
2024-01-05 00:00:00,0.99,0.386,8.6,36.3,15.1,14.2,10.9
2024-01-05 01:00:00,0.99,0.384,7.8,36.9,15.2,14.2,10.6
2024-01-05 02:00:00,0.98,0.387,8.4,34.9,16.5,15.7,10.8
2024-01-05 03:00:00,1.05,0.376,7.4,41.1,14.3,13.5,11.0
2024-01-05 04:00:00,0.64,0.326,5.3,58.4,9.1,8.2,10.8
2024-01-05 05:00:00,0.48,0.317,4.2,65.5,7.9,7.1,10.7
2024-01-05 06:00:00,0.4,0.317,5.2,69.2,6.9,5.9,10.5
2024-01-05 07:00:00,0.39,0.31,6.4,70.2,6.4,5.4,10.3
2024-01-05 08:00:00,0.37,0.325,10.4,66.0,7.4,6.1,9.8
2024-01-05 09:00:00,0.43,0.315,8.1,65.3,8.4,6.9,9.7
2024-01-05 10:00:00,0.42,0.325,7.3,63.5,8.0,6.9,9.3
2024-01-05 11:00:00,0.43,0.319,6.3,64.7,7.7,6.8,9.6
2024-01-05 12:00:00,0.45,0.316,6.6,64.0,8.9,8.1,9.4
2024-01-05 13:00:00,0.52,0.319,7.6,64.9,9.0,8.2,8.9
2024-01-05 14:00:00,0.52,0.33,7.1,64.9,9.0,8.1,9.3
2024-01-05 15:00:00,0.52,0.335,7.9,64.8,9.2,8.4,9.0
2024-01-05 16:00:00,0.58,0.358,12.5,59.7,9.4,8.6,8.8
2024-01-05 17:00:00,0.63,0.348,12.8,59.2,11.2,10.4,8.8
2024-01-05 18:00:00,0.7,0.361,13.5,57.0,13.6,12.8,8.1
2024-01-05 19:00:00,0.86,0.389,14.5,54.7,16.6,16.1,8.4
2024-01-05 20:00:00,1.32,0.462,18.8,48.8,22.4,22.1,8.6
2024-01-05 21:00:00,1.45,0.516,32.4,33.6,26.1,25.5,8.7
2024-01-05 22:00:00,1.43,0.508,38.7,25.3,25.1,24.7,8.8
2024-01-05 23:00:00,1.77,0.511,33.0,27.2,26.0,25.6,8.5
2024-01-06 00:00:00,1.98,0.537,30.5,30.9,28.4,28.2,8.9
2024-01-06 01:00:00,1.67,0.525,28.6,28.3,28.7,28.6,8.9
2024-01-06 02:00:00,1.92,0.555,27.6,24.9,30.6,30.6,8.9
2024-01-06 03:00:00,2.06,0.678,34.7,13.7,41.0,41.0,9.3
2024-01-06 04:00:00,2.49,0.724,37.9,10.1,43.6,43.6,9.4
2024-01-06 05:00:00,2.34,0.724,36.1,10.5,39.9,39.9,9.2
2024-01-06 06:00:00,2.08,0.704,34.7,11.8,36.7,36.7,8.2
2024-01-06 07:00:00,2.09,0.622,27.9,15.8,34.5,34.5,9.2
2024-01-06 08:00:00,1.91,0.559,20.2,22.9,31.8,31.7,9.0
2024-01-06 09:00:00,1.85,0.555,19.0,25.8,30.2,30.2,8.8
2024-01-06 10:00:00,2.21,0.528,15.8,43.1,24.2,24.0,9.2
2024-01-06 11:00:00,1.9,0.446,11.4,61.0,17.9,17.4,8.9
2024-01-06 12:00:00,1.41,0.407,9.6,68.2,16.1,15.5,8.5
2024-01-06 13:00:00,1.05,0.353,8.2,73.5,12.6,11.8,8.9
2024-01-06 14:00:00,0.68,0.336,7.1,75.4,11.4,10.5,8.0
2024-01-06 15:00:00,0.73,0.349,7.5,74.4,12.1,11.3,8.6
2024-01-06 16:00:00,0.69,0.366,8.5,74.3,11.7,10.9,8.5
2024-01-06 17:00:00,0.72,0.375,8.2,74.4,12.5,11.7,8.4
2024-01-06 18:00:00,0.82,0.342,6.5,73.3,11.5,10.7,7.9
2024-01-06 19:00:00,1.02,0.375,7.8,70.8,12.0,11.3,7.7
2024-01-06 20:00:00,0.99,0.379,8.4,68.2,13.5,12.9,7.4
2024-01-06 21:00:00,1.04,0.453,12.9,59.6,16.4,15.9,7.3
2024-01-06 22:00:00,1.04,0.409,12.5,56.6,15.8,15.4,6.9
2024-01-06 23:00:00,1.08,0.39,8.9,58.6,16.1,15.7,7.3
2024-01-07 00:00:00,1.0,0.401,6.1,61.5,18.4,18.1,7.4
2024-01-07 01:00:00,1.07,0.387,5.8,58.8,18.7,18.5,7.5
2024-01-07 02:00:00,1.09,0.375,5.5,55.6,18.6,18.3,7.4
2024-01-07 03:00:00,1.11,0.38,7.0,53.1,19.0,18.8,6.9
2024-01-07 04:00:00,1.09,0.36,5.4,51.5,18.1,17.9,7.2
2024-01-07 05:00:00,1.03,0.355,5.7,49.8,17.9,17.6,7.3
2024-01-07 06:00:00,1.0,0.347,5.8,48.1,18.5,18.2,7.2
2024-01-07 07:00:00,1.03,0.34,6.4,46.4,19.3,19.0,7.4
2024-01-07 08:00:00,1.08,0.345,7.5,44.1,19.8,19.4,7.3
2024-01-07 09:00:00,1.17,0.343,7.1,44.3,20.4,20.2,7.0
2024-01-07 10:00:00,1.32,0.357,6.8,45.0,22.1,21.8,7.5
2024-01-07 11:00:00,1.34,0.354,6.6,45.3,22.1,21.9,7.7
2024-01-07 12:00:00,1.55,0.368,6.6,46.4,22.8,22.7,7.3
2024-01-07 13:00:00,1.42,0.364,6.5,47.2,22.6,22.5,8.0
2024-01-07 14:00:00,1.43,0.39,7.7,47.1,24.1,24.0,7.6
2024-01-07 15:00:00,1.71,0.389,9.4,45.2,24.8,24.7,7.9
2024-01-07 16:00:00,1.69,0.402,11.9,41.5,25.6,25.6,7.6
2024-01-07 17:00:00,1.93,0.405,12.0,39.6,25.0,25.0,8.3
2024-01-07 18:00:00,1.81,0.415,11.3,37.7,26.0,25.9,7.9
2024-01-07 19:00:00,1.86,0.403,10.8,36.7,27.9,27.9,8.1
2024-01-07 20:00:00,2.22,0.422,10.9,34.8,29.7,29.7,7.9
2024-01-07 21:00:00,1.96,0.405,12.1,32.6,29.8,29.8,7.8
2024-01-07 22:00:00,1.81,0.393,11.0,32.5,30.4,30.4,8.0
2024-01-07 23:00:00,1.91,0.41,11.7,30.3,31.3,31.3,7.4
2024-01-08 00:00:00,2.05,0.423,11.9,29.0,30.6,30.6,7.9
2024-01-08 01:00:00,2.25,0.386,11.6,29.3,29.0,29.0,7.8
2024-01-08 02:00:00,1.87,0.367,10.5,30.5,27.5,27.5,8.1
2024-01-08 03:00:00,1.79,0.346,10.5,31.7,27.2,27.2,8.2
2024-01-08 04:00:00,1.74,0.345,10.2,33.0,27.3,27.3,8.4
2024-01-08 05:00:00,1.68,0.336,10.7,32.8,26.9,26.9,7.6
2024-01-08 06:00:00,1.67,0.404,13.7,31.1,26.7,26.5,8.0
2024-01-08 07:00:00,1.68,0.44,17.6,28.6,27.2,27.1,6.0
2024-01-08 08:00:00,1.96,0.499,22.5,25.8,29.1,29.1,5.7
2024-01-08 09:00:00,2.3,0.522,23.6,25.9,32.2,32.2,5.9
2024-01-08 10:00:00,2.32,0.489,18.4,32.6,31.1,31.1,6.5
2024-01-08 11:00:00,1.95,0.449,14.8,38.7,28.3,28.3,5.5
2024-01-08 12:00:00,2.01,0.466,14.1,42.6,27.4,27.4,5.6
2024-01-08 13:00:00,1.86,0.694,12.7,45.4,26.8,26.8,6.1
2024-01-08 14:00:00,1.87,0.433,13.1,45.8,27.1,27.1,6.1
2024-01-08 15:00:00,1.7,0.428,16.0,43.5,28.1,28.1,6.0
2024-01-08 16:00:00,1.98,0.479,20.5,37.9,31.3,31.3,5.6
2024-01-08 17:00:00,2.06,0.486,18.3,38.5,35.1,35.1,5.0
2024-01-08 18:00:00,2.66,0.602,29.5,25.7,42.3,42.3,5.5
2024-01-08 19:00:00,3.4,0.826,51.3,8.1,49.8,49.8,6.4
2024-01-08 20:00:00,4.34,1.112,52.9,7.2,59.4,59.4,5.9
2024-01-08 21:00:00,5.45,0.916,50.3,6.9,58.3,57.9,6.0
2024-01-08 22:00:00,4.73,1.001,45.0,8.6,72.2,72.2,5.8
2024-01-08 23:00:00,6.42,1.238,45.1,10.4,101.8,101.8,6.6
2024-01-09 00:00:00,6.83,1.123,41.0,9.3,91.1,91.1,6.6
2024-01-09 01:00:00,6.17,1.181,41.1,10.0,96.1,96.1,7.0
2024-01-09 02:00:00,6.86,1.208,42.4,9.2,93.3,93.3,7.0
2024-01-09 03:00:00,5.94,1.046,41.7,6.7,77.6,77.6,7.0
2024-01-09 04:00:00,4.99,0.953,41.4,5.7,70.1,69.0,7.6
2024-01-09 05:00:00,4.62,0.853,42.9,5.1,59.9,59.0,8.2
2024-01-09 06:00:00,3.9,0.901,46.8,5.4,49.4,49.4,8.9
2024-01-09 07:00:00,3.57,0.849,57.1,4.9,41.6,41.6,9.5
2024-01-09 08:00:00,3.43,0.875,62.7,6.0,39.1,38.7,10.0
2024-01-09 09:00:00,2.68,0.606,60.0,11.3,33.2,32.9,10.2
2024-01-09 10:00:00,2.69,0.457,38.5,32.0,31.9,31.1,10.7
2024-01-09 11:00:00,1.83,0.329,20.6,49.5,24.6,23.7,9.8
2024-01-09 12:00:00,1.66,0.342,19.9,50.4,25.0,24.3,10.5
2024-01-09 13:00:00,1.75,0.371,24.1,47.8,28.4,27.6,10.7
2024-01-09 14:00:00,1.87,0.392,23.7,48.8,29.5,28.9,10.6
2024-01-09 15:00:00,1.93,0.424,25.5,45.4,32.3,31.7,10.3
2024-01-09 16:00:00,2.15,0.463,30.2,41.5,33.4,32.7,10.3
2024-01-09 17:00:00,2.04,0.427,24.7,44.7,33.9,33.1,10.1
2024-01-09 18:00:00,1.96,0.393,19.5,48.8,29.8,29.6,8.7
2024-01-09 19:00:00,1.61,0.35,14.4,52.7,26.1,25.0,7.5
2024-01-09 20:00:00,1.3,0.325,13.2,52.7,22.9,21.7,7.6
2024-01-09 21:00:00,1.72,0.458,21.5,40.4,40.9,40.8,7.6
2024-01-09 22:00:00,2.26,0.46,22.6,37.0,43.1,43.1,8.2
2024-01-09 23:00:00,2.18,0.432,19.2,40.0,38.4,37.5,7.8
2024-01-10 00:00:00,1.71,0.363,13.0,46.4,27.7,27.3,7.3
2024-01-10 01:00:00,1.61,0.377,12.7,44.5,31.4,31.4,6.7
2024-01-10 02:00:00,1.73,0.379,11.6,44.2,30.7,30.6,7.0
2024-01-10 03:00:00,1.65,0.373,11.1,43.8,30.8,30.7,6.8
2024-01-10 04:00:00,1.53,0.351,9.9,44.2,28.8,28.3,6.8
2024-01-10 05:00:00,1.35,0.337,9.7,44.6,25.3,24.7,7.0
2024-01-10 06:00:00,1.08,0.316,9.7,46.9,21.1,20.6,6.7
2024-01-10 07:00:00,0.9,0.304,11.3,47.2,19.3,18.8,6.7
2024-01-10 08:00:00,0.89,0.343,15.3,44.0,19.1,18.7,7.2
2024-01-10 09:00:00,0.99,0.338,17.5,41.2,18.6,18.2,7.2
2024-01-10 10:00:00,0.89,0.324,13.3,44.7,18.8,18.5,6.8
2024-01-10 11:00:00,0.69,0.283,10.7,48.3,18.9,18.6,6.5
2024-01-10 12:00:00,0.69,0.268,10.2,50.4,17.9,17.6,6.7
2024-01-10 13:00:00,0.58,0.276,11.0,50.1,18.5,18.3,6.5
2024-01-10 14:00:00,0.76,0.314,12.3,48.8,20.2,19.9,6.8
2024-01-10 15:00:00,0.77,0.318,11.5,50.5,21.3,20.9,6.0
2024-01-10 16:00:00,0.78,0.294,12.5,50.9,20.0,19.7,6.2
2024-01-10 17:00:00,0.75,0.298,11.8,51.5,21.3,20.9,6.8
2024-01-10 18:00:00,0.78,0.287,10.1,52.7,21.7,21.1,6.2
2024-01-10 19:00:00,0.79,0.287,9.7,52.7,21.2,20.1,5.8
2024-01-10 20:00:00,0.75,0.29,8.9,53.2,23.3,20.1,6.7
2024-01-10 21:00:00,0.68,0.278,7.8,53.8,22.0,18.5,6.4
2024-01-10 22:00:00,0.63,0.273,8.1,50.7,24.1,19.3,6.6
2024-01-10 23:00:00,0.67,0.271,7.3,50.0,21.4,17.8,6.5
2024-01-11 00:00:00,0.59,0.268,6.0,52.0,16.8,14.6,6.4
2024-01-11 01:00:00,0.51,0.258,5.5,51.4,15.5,13.6,7.0
2024-01-11 02:00:00,0.51,0.257,5.4,50.8,15.9,13.3,7.0
2024-01-11 03:00:00,0.48,0.25,5.9,49.9,17.6,14.4,6.9
2024-01-11 04:00:00,0.47,0.247,6.0,51.6,15.8,14.6,6.9
2024-01-11 05:00:00,0.35,0.235,6.5,55.5,12.6,12.0,7.0
2024-01-11 06:00:00,0.28,0.242,6.5,55.4,11.9,11.2,7.2
2024-01-11 07:00:00,0.29,0.25,8.5,53.2,12.2,11.5,7.0
2024-01-11 08:00:00,0.32,0.27,10.9,51.6,11.1,10.3,7.1
2024-01-11 09:00:00,0.42,0.287,9.2,53.0,10.5,9.6,8.9
2024-01-11 10:00:00,0.39,0.251,9.6,52.5,11.4,10.4,7.4
2024-01-11 11:00:00,0.39,0.259,9.7,50.3,11.0,10.1,7.2
2024-01-11 12:00:00,0.5,0.3,12.4,47.6,11.8,11.1,7.3
2024-01-11 13:00:00,0.5,0.287,11.5,50.8,9.6,8.8,7.4
2024-01-11 14:00:00,0.49,0.291,11.7,53.0,8.7,7.8,7.1
2024-01-11 15:00:00,0.48,0.273,10.4,57.4,8.7,7.7,7.2
2024-01-11 16:00:00,0.35,0.251,9.1,64.3,6.4,5.4,7.2
2024-01-11 17:00:00,0.48,0.278,9.8,65.0,6.5,5.5,6.8
2024-01-11 18:00:00,0.33,0.244,8.4,65.5,6.7,5.6,6.9
2024-01-11 19:00:00,0.36,0.247,7.5,64.7,7.0,6.0,6.5
2024-01-11 20:00:00,0.36,0.227,5.9,67.2,6.6,5.5,6.3
2024-01-11 21:00:00,0.33,0.234,5.6,68.3,7.2,6.0,6.2
2024-01-11 22:00:00,0.37,0.254,8.7,67.0,7.4,6.3,5.6
2024-01-11 23:00:00,0.37,0.227,5.3,65.8,6.9,5.8,5.2
2024-01-12 00:00:00,0.35,0.236,5.3,63.9,7.3,6.3,5.5
2024-01-12 01:00:00,0.35,0.233,3.7,64.2,7.2,6.2,5.5
2024-01-12 02:00:00,0.37,0.246,6.3,59.5,7.7,6.7,5.1
2024-01-12 03:00:00,0.34,0.247,6.5,56.1,6.6,5.6,5.2
2024-01-12 04:00:00,0.32,0.245,7.7,50.8,6.8,5.8,4.8
2024-01-12 05:00:00,0.33,0.312,12.5,42.9,8.0,7.0,5.1
2024-01-12 06:00:00,0.63,0.422,28.6,28.3,11.8,10.9,5.1
2024-01-12 07:00:00,1.16,0.464,34.2,27.1,15.1,14.1,5.8
2024-01-12 08:00:00,1.38,0.554,55.5,9.3,18.3,16.9,5.9
2024-01-12 09:00:00,1.61,0.422,43.5,24.6,15.5,13.8,6.0
2024-01-12 10:00:00,1.3,0.39,32.3,35.6,16.9,14.9,6.7
2024-01-12 11:00:00,1.13,0.314,15.8,54.4,12.2,10.9,6.6
2024-01-12 12:00:00,0.75,0.303,11.6,56.5,12.5,11.3,6.8
2024-01-12 13:00:00,0.86,0.32,12.3,54.1,14.6,13.0,7.2
2024-01-12 14:00:00,0.83,0.323,11.6,53.7,12.8,11.9,7.0
2024-01-12 15:00:00,0.69,0.294,10.2,55.2,10.5,9.6,6.8
2024-01-12 16:00:00,0.59,0.294,8.8,57.3,10.7,9.8,6.2
2024-01-12 17:00:00,0.51,0.277,7.6,57.8,11.5,10.8,7.3
2024-01-12 18:00:00,0.52,0.286,7.5,55.3,13.3,12.7,7.7
2024-01-12 19:00:00,0.52,0.274,8.1,54.8,14.0,13.3,7.9
2024-01-12 20:00:00,0.48,0.276,8.6,53.7,13.2,12.6,8.0
2024-01-12 21:00:00,0.48,0.288,9.0,52.7,14.4,13.8,8.0
2024-01-12 22:00:00,0.49,0.285,8.4,52.8,14.9,14.3,8.0
2024-01-12 23:00:00,0.58,0.301,8.2,52.6,14.5,13.9,8.0
2024-01-13 00:00:00,0.49,0.278,8.0,55.2,13.5,12.7,7.9
2024-01-13 01:00:00,0.38,0.263,6.9,57.8,11.3,10.4,8.1
2024-01-13 02:00:00,0.34,0.258,6.7,58.0,11.2,10.2,7.5
2024-01-13 03:00:00,0.3,0.26,5.2,61.0,8.9,7.9,7.6
2024-01-13 04:00:00,0.23,0.244,3.0,68.2,5.7,4.6,7.5
2024-01-13 05:00:00,0.21,0.24,2.8,65.9,5.5,4.3,7.3
2024-01-13 06:00:00,0.23,0.24,3.0,62.1,5.5,4.4,7.2
2024-01-13 07:00:00,0.28,0.276,3.7,59.0,5.8,4.6,7.4
2024-01-13 08:00:00,0.39,0.271,7.8,52.1,6.0,4.9,7.2
2024-01-13 09:00:00,0.39,0.295,11.6,47.8,7.1,5.9,7.6
2024-01-13 10:00:00,0.61,0.33,14.0,47.9,10.4,9.1,7.8
2024-01-13 11:00:00,0.77,0.373,22.8,38.1,14.4,12.3,8.3
2024-01-13 12:00:00,1.1,0.445,26.7,34.5,18.6,16.3,10.9
2024-01-13 13:00:00,0.9,0.319,10.0,49.2,17.4,16.7,8.4
2024-01-13 14:00:00,0.64,0.318,8.9,51.5,15.6,14.9,8.1
2024-01-13 15:00:00,0.6,0.349,15.8,43.7,20.4,19.9,10.0
2024-01-13 16:00:00,0.61,0.368,24.3,36.7,19.4,18.9,14.0
2024-01-13 17:00:00,0.71,0.385,26.4,33.9,21.6,21.3,15.3
2024-01-13 18:00:00,0.81,0.386,22.2,36.8,21.2,20.9,13.4
2024-01-13 19:00:00,0.92,0.381,20.8,38.5,20.3,20.1,12.0
2024-01-13 20:00:00,0.76,0.351,11.6,46.3,15.7,15.2,10.7
2024-01-13 21:00:00,0.71,0.337,9.2,46.9,13.7,12.8,10.4
2024-01-13 22:00:00,0.72,0.327,8.6,47.9,13.0,11.5,10.6
2024-01-13 23:00:00,0.59,0.31,5.9,52.4,10.7,9.9,10.5
2024-01-14 00:00:00,0.47,0.3,5.2,55.1,9.7,9.0,10.7
2024-01-14 01:00:00,0.44,0.293,4.7,56.1,8.5,7.7,10.8
2024-01-14 02:00:00,0.38,0.28,4.1,56.3,7.6,6.7,10.7
2024-01-14 03:00:00,0.33,0.277,3.9,59.7,7.5,6.6,11.0
2024-01-14 04:00:00,0.28,0.267,3.7,60.7,6.9,6.0,10.8
2024-01-14 05:00:00,0.27,0.267,3.5,63.8,6.4,5.4,10.8
2024-01-14 06:00:00,0.24,0.269,3.2,64.5,5.8,4.9,10.7
2024-01-14 07:00:00,0.23,0.261,3.3,64.9,5.4,4.4,10.8
2024-01-14 08:00:00,0.22,0.288,3.4,64.9,5.2,4.2,13.2
2024-01-14 09:00:00,0.27,0.276,3.6,64.3,6.2,5.3,10.4
2024-01-14 10:00:00,0.31,0.282,3.9,63.7,6.6,5.7,10.5
2024-01-14 11:00:00,0.35,0.294,4.4,63.6,7.6,6.7,10.4
2024-01-14 12:00:00,0.31,0.28,4.1,66.0,7.6,6.5,10.6
2024-01-14 13:00:00,0.31,0.271,3.9,65.6,8.1,6.9,10.2
2024-01-14 14:00:00,0.42,0.298,4.5,65.1,8.7,7.6,10.5
2024-01-14 15:00:00,0.34,0.295,4.1,66.6,7.8,6.7,10.6
2024-01-14 16:00:00,0.34,0.296,4.6,66.2,7.8,6.7,10.3
2024-01-14 17:00:00,0.41,0.309,5.6,62.0,9.3,8.4,10.3
2024-01-14 18:00:00,0.52,0.311,6.4,60.2,11.3,10.2,10.7
2024-01-14 19:00:00,0.52,0.299,6.5,61.3,10.5,9.4,10.6
2024-01-14 20:00:00,0.51,0.305,5.4,61.9,10.3,9.3,10.8
2024-01-14 21:00:00,0.48,0.311,4.9,60.9,11.9,11.1,10.6
2024-01-14 22:00:00,0.53,0.313,4.7,59.1,14.6,14.1,11.1
2024-01-14 23:00:00,0.52,0.301,4.3,58.3,12.9,12.3,10.7
2024-01-15 00:00:00,0.49,0.307,4.0,57.8,11.5,10.9,10.5
2024-01-15 01:00:00,0.43,0.287,3.4,60.0,9.9,9.2,10.9
2024-01-15 02:00:00,0.36,0.295,3.8,60.5,10.7,10.0,11.7
2024-01-15 03:00:00,0.34,0.293,3.9,61.5,10.3,9.5,11.7
2024-01-15 04:00:00,0.34,0.301,4.2,58.1,9.9,9.2,11.2
